datetime,field1
14-10-2020 00:00,32.34
14-10-2020 01:00,31.31
14-10-2020 02:00,30.24
14-10-2020 03:00,29.16
14-10-2020 04:00,27.97
14-10-2020 05:00,26.76
14-10-2020 06:00,25.84
14-10-2020 07:00,26.58
14-10-2020 08:00,28.52
14-10-2020 09:00,30.88
14-10-2020 10:00,33.32
14-10-2020 11:00,35.42
14-10-2020 12:00,36.89
14-10-2020 13:00,37.93
14-10-2020 14:00,38.4
14-10-2020 15:00,38.58
14-10-2020 16:00,38.46
14-10-2020 17:00,37.81
14-10-2020 18:00,36.81
14-10-2020 19:00,35.96
14-10-2020 20:00,34.93
14-10-2020 21:00,33.92
14-10-2020 22:00,32.98
14-10-2020 23:00,31.93
15-10-2020 00:00,30.92
15-10-2020 01:00,30.17
15-10-2020 02:00,29.86
15-10-2020 03:00,29.53
15-10-2020 04:00,29.05
15-10-2020 05:00,28.53
15-10-2020 06:00,27.83
15-10-2020 07:00,28.14
15-10-2020 08:00,30.52
15-10-2020 09:00,32.42
15-10-2020 10:00,34.08
15-10-2020 11:00,35.78
15-10-2020 12:00,37.09
15-10-2020 13:00,37.73
15-10-2020 14:00,38.03
15-10-2020 15:00,38
15-10-2020 16:00,37.45
15-10-2020 17:00,37.78
15-10-2020 18:00,36.42
15-10-2020 19:00,35.02
15-10-2020 20:00,33.81
15-10-2020 21:00,32.84
15-10-2020 22:00,32.25
15-10-2020 23:00,31.57
16-10-2020 00:00,30.98
16-10-2020 01:00,30.37
16-10-2020 02:00,29.82
16-10-2020 03:00,29.5
16-10-2020 04:00,29.27
16-10-2020 05:00,28.8
16-10-2020 06:00,28.59
16-10-2020 07:00,29.18
16-10-2020 08:00,31.06
16-10-2020 09:00,32.67
16-10-2020 10:00,33.94
16-10-2020 11:00,34.9
16-10-2020 12:00,35.64
16-10-2020 13:00,35.71
16-10-2020 14:00,35.61
16-10-2020 15:00,35.68
16-10-2020 16:00,35.28
16-10-2020 17:00,34.85
16-10-2020 18:00,34.13
16-10-2020 19:00,33.36
16-10-2020 20:00,32.54
16-10-2020 21:00,32.05
16-10-2020 22:00,31.54
16-10-2020 23:00,30.99
17-10-2020 00:00,30.62
17-10-2020 01:00,30.32
17-10-2020 02:00,29.81
17-10-2020 03:00,29.17
17-10-2020 04:00,28.66
17-10-2020 05:00,28.25
17-10-2020 06:00,27.98
17-10-2020 07:00,28.38
17-10-2020 08:00,29.57
17-10-2020 09:00,31.23
17-10-2020 10:00,31.82
17-10-2020 11:00,33.38
17-10-2020 12:00,32.72
17-10-2020 13:00,33.53
17-10-2020 14:00,32.75
17-10-2020 15:00,33.08
17-10-2020 16:00,33.18
17-10-2020 17:00,32.84
17-10-2020 18:00,32.44
17-10-2020 19:00,32.12
17-10-2020 20:00,31.7
17-10-2020 21:00,31.25
17-10-2020 22:00,30.6
17-10-2020 23:00,29.94
18-10-2020 00:00,29.38
18-10-2020 01:00,29.2
18-10-2020 02:00,28.7
18-10-2020 03:00,28.21
18-10-2020 04:00,27.83
18-10-2020 05:00,27.56
18-10-2020 06:00,27.47
18-10-2020 07:00,28.16
18-10-2020 08:00,29.38
18-10-2020 09:00,30.88
18-10-2020 10:10,32.13
18-10-2020 11:00,31.78
18-10-2020 12:00,31.76
18-10-2020 13:00,31.65
18-10-2020 14:00,31.57
18-10-2020 15:00,31.51
18-10-2020 16:00,31.71
18-10-2020 17:00,31.31
18-10-2020 18:00,31.33
18-10-2020 19:00,31.59
18-10-2020 20:00,31.15
18-10-2020 21:00,30.26
18-10-2020 22:00,29.23
18-10-2020 23:00,28.67
